,代码,名称
0,000001,平安银行
1,000002,万 科Ａ
2,000004,*ST国华
3,000006,深振业Ａ
4,000007,全新好
5,000008,神州高铁
6,000009,中国宝安
7,000010,美丽生态
8,000011,深物业A
9,000012,南 玻Ａ
10,000014,沙河股份
11,000016,深康佳Ａ
12,000017,深中华A
13,000019,深粮控股
14,000020,深华发Ａ
15,000021,深科技
16,000025,特 力Ａ
17,000026,飞亚达
18,000027,深圳能源
19,000028,国药一致
20,000029,深深房Ａ
21,000030,富奥股份
22,000031,大悦城
23,000032,深桑达Ａ
24,000034,神州数码
25,000035,中国天楹
26,000036,华联控股
27,000037,深南电A
28,000039,中集集团
29,000042,中洲控股
30,000045,深纺织Ａ
31,000048,京基智农
32,000049,德赛电池
33,000050,深天马Ａ
34,000055,方大集团
35,000056,皇庭国际
36,000058,深 赛 格
37,000059,华锦股份
38,000060,中金岭南
39,000061,农 产 品
40,000062,深圳华强
41,000063,中兴通讯
42,000065,北方国际
43,000066,中国长城
44,000068,华控赛格
45,000069,华侨城Ａ
46,000070,ST特信
47,000078,海王生物
48,000088,盐 田 港
49,000089,深圳机场
50,000090,天健集团
51,000096,广聚能源
52,000099,中信海直
53,000100,TCL科技
54,000151,中成股份
55,000153,丰原药业
56,000155,川能动力
57,000156,华数传媒
58,000157,中联重科
59,000158,常山北明
60,000159,国际实业
61,000166,申万宏源
62,000301,东方盛虹
63,000333,美的集团
64,000338,潍柴动力
65,000400,许继电气
66,000401,冀东水泥
67,000402,金 融 街
68,000403,派林生物
69,000404,长虹华意
70,000407,胜利股份
71,000408,藏格矿业
72,000409,云鼎科技
73,000410,沈阳机床
74,000411,英特集团
75,000415,渤海租赁
76,000417,合百集团
77,000419,通程控股
78,000420,吉林化纤
79,000421,南京公用
80,000422,湖北宜化
81,000423,东阿阿胶
82,000425,徐工机械
83,000426,兴业银锡
84,000428,华天酒店
85,000429,粤高速Ａ
86,000430,ST张家界
87,000488,ST晨鸣
88,000498,山东路桥
89,000501,武商集团
90,000503,国新健康
91,000504,*ST生物
92,000505,京粮控股
93,000506,中润资源
94,000507,珠海港
95,000509,华塑控股
96,000510,新金路
97,000513,丽珠集团
98,000514,渝 开 发
99,000516,国际医学
100,000517,荣安地产
101,000518,*ST四环
102,000519,中兵红箭
103,000520,凤凰航运
104,000521,长虹美菱
105,000523,红棉股份
106,000524,岭南控股
107,000525,ST红太阳
108,000526,学大教育
109,000528,柳 工
110,000529,广弘控股
111,000530,冰山冷热
112,000531,穗恒运Ａ
113,000532,华金资本
114,000533,顺钠股份
115,000534,万泽股份
116,000536,华映科技
117,000537,中绿电
118,000538,云南白药
119,000539,粤电力Ａ
120,000541,佛山照明
121,000543,皖能电力
122,000544,中原环保
123,000545,金浦钛业
124,000546,金圆股份
125,000547,航天发展
126,000548,湖南投资
127,000550,江铃汽车
128,000551,创元科技
129,000552,甘肃能化
130,000553,安道麦A
131,000554,泰山石油
132,000555,神州信息
133,000557,西部创业
134,000558,天府文旅
135,000559,万向钱潮
136,000560,我爱我家
137,000561,烽火电子
138,000563,陕国投Ａ
139,000564,供销大集
140,000565,渝三峡Ａ
141,000566,海南海药
142,000567,海德股份
143,000568,泸州老窖
144,000570,苏常柴Ａ
145,000571,新大洲A
146,000572,海马汽车
147,000573,粤宏远Ａ
148,000576,甘化科工
149,000581,威孚高科
150,000582,北部湾港
151,000584,*ST工智
152,000586,汇源通信
153,000589,贵州轮胎
154,000590,启迪药业
155,000591,太阳能
156,000592,平潭发展
157,000593,德龙汇能
158,000595,*ST宝实
159,000596,古井贡酒
160,000597,东北制药
161,000598,兴蓉环境
162,000599,青岛双星
163,000600,建投能源
164,000601,韶能股份
165,000603,盛达资源
166,000605,渤海股份
167,000607,华媒控股
168,000608,*ST阳光
169,000609,*ST中迪
170,000610,西安旅游
171,000612,焦作万方
172,000615,*ST美谷
173,000617,中油资本
174,000619,海螺新材
175,000620,新华联
176,000622,*ST恒立
177,000623,吉林敖东
178,000625,长安汽车
179,000626,远大控股
180,000627,天茂集团
181,000628,高新发展
182,000629,钒钛股份
183,000630,铜陵有色
184,000631,顺发恒业
185,000632,三木集团
186,000633,合金投资
187,000635,英 力 特
188,000636,风华高科
189,000637,茂化实华
190,000638,*ST万方
191,000639,西王食品
192,000650,仁和药业
193,000651,格力电器
194,000652,泰达股份
195,000655,金岭矿业
196,000656,*ST金科
197,000657,中钨高新
198,000659,珠海中富
199,000661,长春高新
200,000663,永安林业
201,000665,湖北广电
202,000668,*ST荣控
203,000669,ST金鸿
204,000670,盈方微
205,000672,上峰水泥
206,000676,智度股份
207,000677,恒天海龙
208,000678,襄阳轴承
209,000679,大连友谊
210,000680,山推股份
211,000681,视觉中国
212,000682,东方电子
213,000683,博源化工
214,000685,中山公用
215,000686,东北证券
216,000688,国城矿业
217,000690,宝新能源
218,000691,*ST亚太
219,000692,惠天热电
220,000695,滨海能源
221,000697,ST炼石
222,000698,沈阳化工
223,000700,模塑科技
224,000701,厦门信达
225,000702,正虹科技
226,000703,恒逸石化
227,000705,浙江震元
228,000707,双环科技
229,000708,中信特钢
230,000709,河钢股份
231,000710,贝瑞基因
232,000711,*ST京蓝
233,000712,锦龙股份
234,000713,丰乐种业
235,000715,中兴商业
236,000716,黑芝麻
237,000717,中南股份
238,000718,苏宁环球
239,000719,中原传媒
240,000720,新能泰山
241,000721,西安饮食
242,000722,湖南发展
243,000723,美锦能源
244,000725,京东方Ａ
245,000726,鲁 泰Ａ
246,000727,冠捷科技
247,000728,国元证券
248,000729,燕京啤酒
249,000731,四川美丰
250,000733,振华科技
251,000735,罗 牛 山
252,000736,*ST中地
253,000737,北方铜业
254,000738,航发控制
255,000739,普洛药业
256,000750,国海证券
257,000751,锌业股份
258,000752,ST西发
259,000753,漳州发展
260,000755,山西高速
261,000756,新华制药
262,000757,浩物股份
263,000758,中色股份
264,000759,中百集团
265,000761,本钢板材
266,000762,西藏矿业
267,000766,通化金马
268,000767,晋控电力
269,000768,中航西飞
270,000776,广发证券
271,000777,中核科技
272,000778,新兴铸管
273,000779,甘咨询
274,000782,恒申新材
275,000783,长江证券
276,000785,居然智家
277,000786,北新建材
278,000788,北大医药
279,000789,万年青
280,000790,华神科技
281,000791,甘肃能源
282,000792,盐湖股份
283,000793,ST华闻
284,000795,英洛华
285,000796,凯撒旅业
286,000797,中国武夷
287,000798,中水渔业
288,000799,酒鬼酒
289,000800,一汽解放
290,000801,四川九洲
291,000802,北京文化
292,000803,山高环能
293,000807,云铝股份
294,000809,和展能源
295,000810,创维数字
296,000811,冰轮环境
297,000812,陕西金叶
298,000813,德展健康
299,000815,美利云
300,000816,智慧农业
301,000818,航锦科技
302,000819,岳阳兴长
303,000820,*ST节能
304,000821,京山轻机
305,000822,山东海化
306,000823,超声电子
307,000825,太钢不锈
308,000826,启迪环境
309,000828,东莞控股
310,000829,天音控股
311,000830,鲁西化工
312,000831,中国稀土
313,000833,粤桂股份
314,000837,秦川机床
315,000838,财信发展
316,000839,中信国安
317,000848,承德露露
318,000850,华茂股份
319,000851,*ST高鸿
320,000852,石化机械
321,000856,冀东装备
322,000858,五 粮 液
323,000859,国风新材
324,000860,顺鑫农业
325,000862,银星能源
326,000863,三湘印象
327,000868,安凯客车
328,000869,张 裕Ａ
329,000875,吉电股份
330,000876,新 希 望
331,000877,天山股份
332,000878,云南铜业
333,000880,潍柴重机
334,000881,中广核技
335,000882,华联股份
336,000883,湖北能源
337,000885,城发环境
338,000886,海南高速
339,000887,中鼎股份
340,000888,峨眉山Ａ
341,000889,中嘉博创
342,000890,法尔胜
343,000892,欢瑞世纪
344,000893,亚钾国际
345,000895,双汇发展
346,000897,津滨发展
347,000898,鞍钢股份
348,000899,赣能股份
349,000900,现代投资
350,000901,航天科技
351,000902,新洋丰
352,000903,云内动力
353,000905,厦门港务
354,000906,浙商中拓
355,000908,*ST景峰
356,000909,ST数源
357,000910,大亚圣象
358,000911,广农糖业
359,000912,泸天化
360,000913,钱江摩托
361,000915,华特达因
362,000917,电广传媒
363,000919,金陵药业
364,000920,沃顿科技
365,000921,海信家电
366,000922,佳电股份
367,000923,河钢资源
368,000925,众合科技
369,000926,福星股份
370,000927,中国铁物
371,000928,中钢国际
372,000929,*ST兰黄
373,000930,中粮科技
374,000931,中 关 村
375,000932,华菱钢铁
376,000933,神火股份
377,000935,四川双马
378,000936,华西股份
379,000937,冀中能源
380,000938,紫光股份
381,000948,南天信息
382,000949,新乡化纤
383,000950,重药控股
384,000951,中国重汽
385,000952,广济药业
386,000953,河化股份
387,000955,欣龙控股
388,000957,中通客车
389,000958,电投产融
390,000959,首钢股份
391,000960,锡业股份
392,000962,东方钽业
393,000963,华东医药
394,000965,天保基建
395,000966,长源电力
396,000967,盈峰环境
397,000968,蓝焰控股
398,000969,安泰科技
