,代码,名称
0,000001,平安银行
1,000002,万 科Ａ
2,000004,国华网安
3,000006,深振业Ａ
4,000007,*ST全新
5,000008,神州高铁
6,000009,中国宝安
7,000010,美丽生态
8,000011,深物业A
9,000012,南 玻Ａ
10,000014,沙河股份
11,000016,深康佳Ａ
12,000017,深中华A
13,000019,深粮控股
14,000020,深华发Ａ
15,000021,深科技
16,000023,*ST深天
17,000025,特 力Ａ
18,000026,飞亚达
19,000027,深圳能源
20,000028,国药一致
21,000029,深深房Ａ
22,000030,富奥股份
23,000031,大悦城
24,000032,深桑达Ａ
25,000034,神州数码
26,000035,中国天楹
27,000036,华联控股
28,000037,深南电A
29,000039,中集集团
30,000040,东旭蓝天
31,000042,中洲控股
32,000045,深纺织Ａ
33,000048,京基智农
34,000049,德赛电池
35,000050,深天马Ａ
36,000055,方大集团
37,000056,皇庭国际
38,000058,深 赛 格
39,000059,华锦股份
40,000060,中金岭南
41,000061,农 产 品
42,000062,深圳华强
43,000063,中兴通讯
44,000065,北方国际
45,000066,中国长城
46,000068,华控赛格
47,000069,华侨城Ａ
48,000070,ST特信
49,000078,海王生物
50,000088,盐 田 港
51,000089,深圳机场
52,000090,天健集团
53,000096,广聚能源
54,000099,中信海直
55,000100,TCL科技
56,000151,中成股份
57,000153,丰原药业
58,000155,川能动力
59,000156,华数传媒
60,000157,中联重科
61,000158,常山北明
62,000159,国际实业
63,000166,申万宏源
64,000301,东方盛虹
65,000333,美的集团
66,000338,潍柴动力
67,000400,许继电气
68,000401,冀东水泥
69,000402,金 融 街
70,000403,派林生物
71,000404,长虹华意
72,000407,胜利股份
73,000408,藏格矿业
74,000409,云鼎科技
75,000410,沈阳机床
76,000411,英特集团
77,000413,东旭光电
78,000415,渤海租赁
79,000416,*ST民控
80,000417,合肥百货
81,000419,通程控股
82,000420,吉林化纤
83,000421,南京公用
84,000422,湖北宜化
85,000423,东阿阿胶
86,000425,徐工机械
87,000426,兴业银锡
88,000428,华天酒店
89,000429,粤高速Ａ
90,000430,张家界
91,000488,晨鸣纸业
92,000498,山东路桥
93,000501,武商集团
94,000503,国新健康
95,000504,南华生物
96,000505,京粮控股
97,000506,*ST中润
98,000507,珠海港
99,000509,华塑控股
100,000510,新金路
101,000513,丽珠集团
102,000514,渝 开 发
103,000516,国际医学
104,000517,荣安地产
105,000518,四环生物
106,000519,中兵红箭
107,000520,凤凰航运
108,000521,长虹美菱
109,000523,红棉股份
110,000524,岭南控股
111,000525,ST红太阳
112,000526,学大教育
113,000528,柳 工
114,000529,广弘控股
115,000530,冰山冷热
116,000531,穗恒运Ａ
117,000532,华金资本
118,000533,顺钠股份
119,000534,万泽股份
120,000536,华映科技
121,000537,中绿电
122,000538,云南白药
123,000539,粤电力Ａ
124,000541,佛山照明
125,000543,皖能电力
126,000544,中原环保
127,000545,金浦钛业
128,000546,金圆股份
129,000547,航天发展
130,000548,湖南投资
131,000550,江铃汽车
132,000551,创元科技
133,000552,甘肃能化
134,000553,安道麦A
135,000554,泰山石油
136,000555,神州信息
137,000557,西部创业
138,000558,莱茵体育
139,000559,万向钱潮
140,000560,我爱我家
141,000561,烽火电子
142,000563,陕国投Ａ
143,000564,ST大集
144,000565,渝三峡Ａ
145,000566,海南海药
146,000567,海德股份
147,000568,泸州老窖
148,000570,苏常柴Ａ
149,000571,新大洲A
150,000572,海马汽车
151,000573,粤宏远Ａ
152,000576,甘化科工
153,000581,威孚高科
154,000582,北部湾港
155,000584,*ST工智
156,000586,汇源通信
157,000589,贵州轮胎
158,000590,启迪药业
159,000591,太阳能
160,000592,平潭发展
161,000593,德龙汇能
162,000595,宝塔实业
163,000596,古井贡酒
164,000597,东北制药
165,000598,兴蓉环境
166,000599,青岛双星
167,000600,建投能源
168,000601,韶能股份
169,000603,盛达资源
170,000605,渤海股份
171,000607,华媒控股
172,000608,阳光股份
173,000609,*ST中迪
174,000610,西安旅游
175,000612,焦作万方
176,000615,*ST美谷
177,000617,中油资本
178,000619,海螺新材
179,000620,*ST新联
180,000622,*ST恒立
181,000623,吉林敖东
182,000625,长安汽车
183,000626,远大控股
184,000627,天茂集团
185,000628,高新发展
186,000629,钒钛股份
187,000630,铜陵有色
188,000631,顺发恒业
189,000632,三木集团
190,000633,合金投资
191,000635,英 力 特
192,000636,风华高科
193,000637,ST实华
194,000638,万方发展
195,000639,西王食品
196,000650,仁和药业
197,000651,格力电器
198,000652,泰达股份
199,000655,金岭矿业
200,000656,*ST金科
201,000657,中钨高新
202,000659,珠海中富
203,000661,长春高新
204,000663,永安林业
205,000665,湖北广电
206,000668,荣丰控股
207,000669,ST金鸿
208,000670,盈方微
209,000672,上峰水泥
210,000676,智度股份
211,000677,恒天海龙
212,000678,襄阳轴承
213,000679,大连友谊
214,000680,山推股份
215,000681,视觉中国
216,000682,东方电子
217,000683,远兴能源
218,000685,中山公用
219,000686,东北证券
220,000688,国城矿业
221,000690,宝新能源
222,000691,亚太实业
223,000692,*ST惠天
224,000695,滨海能源
225,000697,炼石航空
226,000698,沈阳化工
227,000700,模塑科技
228,000701,厦门信达
229,000702,正虹科技
230,000703,恒逸石化
231,000705,浙江震元
232,000707,双环科技
233,000708,中信特钢
234,000709,河钢股份
235,000710,贝瑞基因
236,000711,*ST京蓝
237,000712,锦龙股份
238,000713,丰乐种业
239,000715,中兴商业
240,000716,黑芝麻
241,000717,中南股份
242,000718,苏宁环球
243,000719,中原传媒
244,000720,新能泰山
245,000721,西安饮食
246,000722,湖南发展
247,000723,美锦能源
248,000725,京东方Ａ
249,000726,鲁 泰Ａ
250,000727,冠捷科技
251,000728,国元证券
252,000729,燕京啤酒
253,000731,四川美丰
254,000733,振华科技
255,000735,罗 牛 山
256,000736,中交地产
257,000737,北方铜业
258,000738,航发控制
259,000739,普洛药业
260,000750,国海证券
261,000751,锌业股份
262,000752,*ST西发
263,000753,漳州发展
264,000755,山西高速
265,000756,新华制药
266,000757,浩物股份
267,000758,中色股份
268,000759,中百集团
269,000761,本钢板材
270,000762,西藏矿业
271,000766,通化金马
272,000767,晋控电力
273,000768,中航西飞
274,000776,广发证券
275,000777,中核科技
276,000778,新兴铸管
277,000779,甘咨询
278,000782,美达股份
279,000783,长江证券
280,000785,居然之家
281,000786,北新建材
282,000788,北大医药
283,000789,万年青
284,000790,华神科技
285,000791,甘肃能源
286,000792,盐湖股份
287,000793,华闻集团
288,000795,英洛华
289,000796,*ST凯撒
290,000797,中国武夷
291,000798,中水渔业
292,000799,酒鬼酒
293,000800,一汽解放
294,000801,四川九洲
295,000802,北京文化
296,000803,山高环能
297,000807,云铝股份
298,000809,*ST 新城
299,000810,创维数字
300,000811,冰轮环境
301,000812,陕西金叶
302,000813,德展健康
303,000815,美利云
304,000816,智慧农业
305,000818,航锦科技
306,000819,岳阳兴长
307,000820,神雾节能
308,000821,京山轻机
309,000822,山东海化
310,000823,超声电子
311,000825,太钢不锈
312,000826,启迪环境
313,000828,东莞控股
314,000829,天音控股
315,000830,鲁西化工
316,000831,中国稀土
317,000833,粤桂股份
318,000836,ST富通
319,000837,秦川机床
320,000838,财信发展
321,000839,ST国安
322,000848,承德露露
323,000850,华茂股份
324,000851,ST高鸿
325,000852,石化机械
326,000856,冀东装备
327,000858,五 粮 液
328,000859,国风新材
329,000860,顺鑫农业
330,000861,海印股份
331,000862,银星能源
332,000863,三湘印象
333,000868,安凯客车
334,000869,张 裕Ａ
335,000875,吉电股份
336,000876,新 希 望
337,000877,天山股份
338,000878,云南铜业
339,000880,潍柴重机
340,000881,中广核技
341,000882,华联股份
342,000883,湖北能源
343,000885,城发环境
344,000886,海南高速
345,000887,中鼎股份
346,000888,峨眉山Ａ
347,000889,ST中嘉
348,000890,法尔胜
349,000892,欢瑞世纪
350,000893,亚钾国际
351,000895,双汇发展
352,000897,津滨发展
353,000898,鞍钢股份
354,000899,赣能股份
355,000900,现代投资
356,000901,航天科技
357,000902,新洋丰
358,000903,云内动力
359,000905,厦门港务
360,000906,浙商中拓
361,000908,*ST景峰
362,000909,ST数源
363,000910,大亚圣象
364,000911,广农糖业
365,000912,泸天化
366,000913,钱江摩托
367,000915,华特达因
368,000917,电广传媒
369,000919,金陵药业
370,000920,沃顿科技
371,000921,海信家电
372,000922,佳电股份
373,000923,河钢资源
374,000925,众合科技
375,000926,福星股份
376,000927,中国铁物
377,000928,中钢国际
378,000929,兰州黄河
379,000930,中粮科技
380,000931,中 关 村
381,000932,华菱钢铁
382,000933,神火股份
383,000935,四川双马
384,000936,华西股份
385,000937,冀中能源
386,000938,紫光股份
387,000948,南天信息
388,000949,新乡化纤
389,000950,重药控股
390,000951,中国重汽
391,000952,广济药业
392,000953,河化股份
393,000955,欣龙控股
394,000957,中通客车
395,000958,电投产融
396,000959,首钢股份
397,000960,锡业股份
398,000961,ST中南
